"Def_Art","German","English","Beispiel","Morphology","Ref_Notes"
"Der","Abbau","dismantling","Der Abbau des Tisches war schwierig.","noun",""
"Die","Reduziering","reduction","Die Reduziering der gewicht ist ganz schwierig.","noun",""
"","abbaubar","biodegradable","","adjective",""
"","zudem","in addition","Zudem habe Bär auch die Lebensgefährtin ihres Vaters über Jahre hinweg beschäftigt.","adverb","spiegel.de: Dorothee Bär von der CSU"
